Time (s),Channel 1 (V)
-4.045225e-05,-4.115849299210023
-4.044225e-05,-4.101174634091053
-4.043225e-05,-4.108511966650535
-4.042225e-05,-4.101174634091056
-4.041225e-05,-4.115849299210023
-4.040225e-05,-4.123186631769508
-4.039225e-05,-4.093837301531567
-4.038225e-05,-4.126855298049236
-4.037225e-05,-4.104843300370796
-4.036225e-05,-4.115849299210023
-4.035225e-05,-4.08283130269234
-4.034225e-05,-4.101174634091055
-4.033225e-05,-4.104843300370796
-4.032225e-05,-4.108511966650538
-4.031225e-05,-4.090168635251825
-4.030225e-05,-4.115849299210015
-4.029225e-05,-4.097505967811318
-4.028225e-05,-4.104843300370796
-4.027225e-05,-4.108511966650538
-4.026225e-05,-4.104843300370794
-4.025225e-05,-4.101174634091055
-4.024225e-05,-4.104843300370796
-4.023225e-05,-4.093837301531567
-4.022225e-05,-4.119517965489766
-4.021225e-05,-4.101174634091061
-4.020225e-05,-4.11218063293028
-4.019225e-05,-4.11218063293028
-4.018225e-05,-4.11218063293028
-4.017225e-05,-4.108511966650542
-4.016225e-05,-4.115849299210023
-4.015225e-05,-4.093837301531567
-4.014225e-05,-4.108511966650538
-4.013225e-05,-4.093837301531567
-4.012225e-05,-4.093837301531567
-4.011225e-05,-4.093837301531567
-4.010225e-05,-4.090168635251825
-4.009225e-05,-4.101174634091049
-4.008225e-05,-4.093837301531571
-4.007225e-05,-4.11218063293028
-4.006225e-05,-4.093837301531567
-4.005225e-05,-4.101174634091053
-4.004225e-05,-4.093837301531571
-4.003225e-05,-4.079162636412597
-4.002225e-05,-4.093837301531567
-4.001225e-05,-4.101174634091053
-4.000225e-05,-4.108511966650533
-3.999225e-05,-4.09750596781131
-3.998225e-05,-4.093837301531567
-3.997225e-05,-4.101174634091053
-3.996225e-05,-4.08283130269235
-3.995225e-05,-4.104843300370796
-3.994225e-05,-4.093837301531567
-3.993225e-05,-4.093837301531567
-3.992225e-05,-4.101174634091061
-3.991225e-05,-4.119517965489758
-3.990225e-05,-4.101174634091053
-3.989225e-05,-4.101174634091053
-3.988225e-05,-4.093837301531567
-3.987225e-05,-4.090168635251827
-3.986225e-05,-4.093837301531567
-3.985225e-05,-4.09750596781131
-3.984225e-05,-4.101174634091053
-3.983225e-05,-4.097505967811312
-3.982225e-05,-4.101174634091053
-3.981225e-05,-4.101174634091053
-3.980225e-05,-4.086499968972082
-3.979225e-05,-4.108511966650525
-3.978225e-05,-4.079162636412597
-3.977225e-05,-4.093837301531567
-3.976225e-05,-4.09750596781131
-3.975225e-05,-4.090168635251821
-3.974225e-05,-4.082831302692344
-3.973225e-05,-4.093837301531567
-3.972225e-05,-4.090168635251825
-3.971225e-05,-4.101174634091053
-3.970225e-05,-4.108511966650535
-3.969225e-05,-4.09750596781131
-3.968225e-05,-4.093837301531567
-3.967225e-05,-4.108511966650538
-3.966225e-05,-4.082831302692352
-3.965225e-05,-4.093837301531567
-3.964225e-05,-4.093837301531567
-3.963225e-05,-4.093837301531567
-3.962225e-05,-4.090168635251827
-3.961225e-05,-4.093837301531567
-3.960225e-05,-4.093837301531567
-3.959225e-05,-4.079162636412597
-3.958225e-05,-4.086499968972087
-3.957225e-05,-4.097505967811305
-3.956225e-05,-4.086499968972082
-3.955225e-05,-4.075493970132855
-3.954225e-05,-4.097505967811305
-3.953225e-05,-4.086499968972087
-3.952225e-05,-4.090168635251825
-3.951225e-05,-4.086499968972082
-3.950225e-05,-4.09750596781131
-3.949225e-05,-4.093837301531569
-3.948225e-05,-4.075493970132855
-3.947225e-05,-4.08283130269234
-3.946225e-05,-4.08283130269234
-3.945225e-05,-4.079162636412607
-3.944225e-05,-4.101174634091053
-3.943225e-05,-4.079162636412597
-3.942225e-05,-4.093837301531567
-3.941225e-05,-4.090168635251823
-3.940225e-05,-4.086499968972084
-3.939225e-05,-4.093837301531567
-3.938225e-05,-4.09750596781131
-3.937225e-05,-4.097505967811312
-3.936225e-05,-4.101174634091051
-3.935225e-05,-4.068156637573369
-3.934225e-05,-4.079162636412597
-3.933225e-05,-4.093837301531567
