#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0E03A
#Date Time: 2021-06-20 16:48:55.674
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.9 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 5 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: DC
#Offset: 2 V

Time (s),Channel 1 (V)
-3.995538461538462e-05,-3.8296933293901
-3.994538461538462e-05,-3.818687330550873
-3.993538461538462e-05,-3.796675332872419
-3.992538461538462e-05,-3.800343999152158
-3.991538461538462e-05,-3.811349997991388
-3.990538461538462e-05,-3.793006666592674
-3.989538461538462e-05,-3.80034399915216
-3.988538461538462e-05,-3.796675332872419
-3.987538461538462e-05,-3.804012665431902
-3.986538461538462e-05,-3.818687330550873
-3.985538461538462e-05,-3.796675332872417
-3.984538461538461e-05,-3.793006666592671
-3.983538461538462e-05,-3.78566933403319
-3.982538461538462e-05,-3.770994668914219
-3.981538461538462e-05,-3.807681331711645
-3.980538461538461e-05,-3.789338000312937
-3.979538461538462e-05,-3.800343999152155
-3.978538461538462e-05,-3.782000667753447
-3.977538461538462e-05,-3.767326002634476
-3.976538461538462e-05,-3.785669334033186
-3.975538461538462e-05,-3.778332001473708
-3.974538461538462e-05,-3.782000667753447
-3.973538461538462e-05,-3.78566933403319
-3.972538461538462e-05,-3.796675332872417
-3.971538461538462e-05,-3.770994668914231
-3.970538461538462e-05,-3.78566933403319
-3.969538461538462e-05,-3.774663335193962
-3.968538461538462e-05,-3.778332001473704
-3.967538461538461e-05,-3.748982671235769
-3.966538461538462e-05,-3.759988670074991
-3.965538461538462e-05,-3.763657336354734
-3.964538461538462e-05,-3.770994668914219
-3.963538461538461e-05,-3.756320003795257
-3.962538461538462e-05,-3.774663335193953
-3.961538461538462e-05,-3.767326002634476
-3.960538461538462e-05,-3.770994668914219
-3.959538461538461e-05,-3.774663335193953
-3.958538461538462e-05,-3.756320003795257
-3.957538461538462e-05,-3.759988670074991
-3.956538461538462e-05,-3.763657336354734
-3.955538461538462e-05,-3.770994668914219
-3.954538461538462e-05,-3.759988670074996
-3.953538461538462e-05,-3.756320003795249
-3.952538461538462e-05,-3.767326002634476
-3.951538461538462e-05,-3.748982671235764
-3.950538461538461e-05,-3.752651337515494
-3.949538461538462e-05,-3.726970673557308
-3.948538461538462e-05,-3.748982671235764
-3.947538461538462e-05,-3.737976672396536
-3.946538461538461e-05,-3.756320003795245
-3.945538461538462e-05,-3.748982671235764
-3.944538461538462e-05,-3.734308006116793
-3.943538461538462e-05,-3.734308006116793
-3.942538461538461e-05,-3.748982671235755
-3.941538461538462e-05,-3.730639339837059
-3.940538461538462e-05,-3.730639339837051
-3.939538461538462e-05,-3.737976672396536
-3.938538461538462e-05,-3.745314004956021
-3.937538461538462e-05,-3.737976672396539
-3.936538461538462e-05,-3.741645338676278
-3.935538461538462e-05,-3.741645338676278
-3.934538461538462e-05,-3.726970673557308
-3.933538461538461e-05,-3.719633340997825
-3.932538461538462e-05,-3.723302007277566
-3.931538461538462e-05,-3.704958675878852
-3.930538461538462e-05,-3.737976672396536
-3.929538461538461e-05,-3.719633340997825
-3.928538461538462e-05,-3.723302007277566
-3.927538461538462e-05,-3.723302007277566
-3.926538461538462e-05,-3.719633340997823
-3.925538461538461e-05,-3.719633340997816
-3.924538461538462e-05,-3.704958675878859
-3.923538461538462e-05,-3.70129000959911
-3.922538461538462e-05,-3.712296008438337
-3.921538461538462e-05,-3.70129000959911
-3.920538461538462e-05,-3.70129000959911
-3.919538461538462e-05,-3.712296008438337
-3.918538461538462e-05,-3.70129000959911
-3.917538461538462e-05,-3.712296008438337
-3.916538461538462e-05,-3.715964674718078
-3.915538461538462e-05,-3.704958675878852
-3.914538461538462e-05,-3.704958675878852
-3.913538461538462e-05,-3.704958675878852
-3.912538461538461e-05,-3.719633340997806
-3.911538461538462e-05,-3.682946678200397
-3.910538461538462e-05,-3.686615344480139
-3.909538461538462e-05,-3.70129000959911
-3.908538461538461e-05,-3.693952677039621
-3.907538461538462e-05,-3.686615344480143
-3.906538461538462e-05,-3.693952677039625
-3.905538461538462e-05,-3.708627342158595
-3.904538461538462e-05,-3.679278011920663
-3.903538461538462e-05,-3.697621343319359
-3.902538461538462e-05,-3.679278011920654
-3.901538461538462e-05,-3.690284010759882
-3.900538461538462e-05,-3.686615344480139
-3.899538461538462e-05,-3.679278011920658
-3.898538461538462e-05,-3.690284010759882
-3.897538461538462e-05,-3.686615344480139
-3.896538461538462e-05,-3.671940679361169
-3.895538461538461e-05,-3.686615344480133
-3.894538461538462e-05,-3.671940679361169
-3.893538461538462e-05,-3.693952677039625
-3.892538461538462e-05,-3.682946678200397
-3.891538461538461e-05,-3.675609345640908
